state	Tree Length	tMRCA	External/Internal ratio	FuLiD
28	1316.7129208972806	11.513949202480692	3.656139240465465	-17.928935001058186
29	1311.7917440473168	11.441124840401418	3.580132709325066	-17.826192138444966
30	1312.581125285668	11.701488262822341	3.576789063215332	-17.822109711296427
31	1314.246078520639	11.69824501181033	3.5883670346945937	-17.838462973899926
32	1308.7009117876487	11.965593726322739	3.552341548415809	-17.787131373829013
33	1309.020362831759	11.464610888580333	3.57117651245095	-17.812745008539064
34	1323.9436183560967	11.579969755544006	3.6926499097087415	-17.97961033338056
35	1320.5230296413824	11.372966587585136	3.6453965853126773	-17.91690370420319
36	1316.4328624071698	11.624095486975566	3.691053878870106	-17.97374836692574
37	1328.4315408810817	11.27711182971668	3.7279081822287203	-18.02658468353023
38	1305.298612541444	11.423950982525358	3.658638994759199	-17.926303580225948
39	1329.3422751254056	11.436111059209551	3.7435970797993847	-18.046724919451876
40	1316.546535588097	11.38914408791478	3.6537309417093327	-17.925724285056074
41	1326.2894243828323	11.338211573042825	3.645139594694658	-17.919480323844788
42	1330.7796492071386	11.583722734565535	3.7074056226860588	-18.00184820176379
43	1338.1261866224927	11.418737030441044	3.662848417225107	-17.948390954259434
44	1323.8154105913902	11.457475199096503	3.5521608219012446	-17.794543262785393
45	1337.6486130851017	11.40739340567406	3.62525316671092	-17.89909937798061
46	1332.794645672293	11.367717209727788	3.6115322843030575	-17.878592711886444
47	1327.9258877380269	11.398519404542057	3.567709142901879	-17.817634372169174
48	1331.9737029088826	11.34385385015839	3.6437428968279315	-17.920505347050305
49	1337.3777702193806	11.327954527029744	3.6209675802105687	-17.89332297082335
50	1322.9863932326007	11.36235415499358	3.6128609418285653	-17.875440822706594
51	1342.4556293002033	11.36284412567315	3.7691811631299954	-18.085103763598745
52	1324.2571565964427	11.396213007622585	3.6146709045921717	-17.878472597529374
53	1331.6984391420624	11.715550215257863	3.69679485974868	-17.98880606338315
54	1322.246411922562	11.41327867817036	3.6654037108589006	-17.94374351106425
55	1323.6056431556806	11.382056399704569	3.586974087469388	-17.841337628759945
56	1329.03583744343	11.915206968618888	3.587713636454667	-17.84504513855121
57	1329.4379786005534	11.81054363801137	3.665670699604179	-17.94771254234447
58	1319.9058072282746	11.826535958339718	3.6564899222878697	-17.931015189245517
59	1326.7318918026813	11.431287648634127	3.645003537812	-17.91952535516713
60	1333.3022042730036	11.439374208626411	3.75265142946096	-18.06001639147251
61	1321.0194288413813	11.609945734420668	3.68593985378275	-17.969543673921727
62	1321.9502717919204	11.35299668478568	3.6664529069187215	-17.94494907119636
63	1321.1110414137831	11.421912929153734	3.533032163914936	-17.767110924377196
64	1325.8738912442634	11.491959298302888	3.6238567452939523	-17.891395870124068
65	1322.7326035891444	11.579455098311929	3.6003971160218415	-17.858791651178073
66	1322.9867316388295	11.432288579301265	3.626699338771357	-17.89368011636739
67	1303.4950707500443	11.414994594075802	3.452272045940814	-17.64565094963328
